"Date","texted","retweets","favorites"
2010-11-05,"Six Agriculture ETFs Dominating the Markets       ",0,0
2010-11-07,"Corn Costs More. Why Not Corn Flakes?  The reason is largely a matter of lag time and no iPhone app.  ",0,0
2010-11-08,"Just in case you were planning to eat next week The Reformed Broker    via ",0,0
2010-11-09,"Biofuel ETFs Hit a Fork in the Road     ",0,0
2010-11-09,"Biofuel ETFs Hit a Fork in the Road     : Biofuel ETFs Hit a For ",0,0
2010-11-10,"Corn, Soybean Ending Stocks Drop: Price Increase Ahead?        ",0,0
2010-11-11,"Ag stocks held up while the crops imploded. Not a good combination      ",0,0
2010-11-11,"Copper Touches New Record High              ",0,0
2010-11-11,"Explaining The Wacky Discounts For The Silver ETF (SLV)   ",1,0
2010-11-17,"  Clarence Beeks report Breakdown patterns       area u focusing in 2011",0,0
2010-11-17,"Eight ETFs to Watch as China Eases Up on Growth         ",0,0
2010-11-19,"Farmland Values Rise 10% Says Chicago Fed      ",0,0
2010-11-19,"Inside the Corn ETF＊s Surge   ",0,0
2010-11-19,"Inside The Corn ETF＊s Surge   ",0,0
2010-11-19,"Today in Commodities: The End of a Crazy Week        ",0,0
2010-11-20," ",0,0
2010-11-23,"Can Easing California Regulations Boost Corn Ethanol?           ",0,0
2010-11-25,"Technical Trading: Fibonacci Explained With The Corn ETF (CORN)  ",0,0
2010-11-25,"Time to Go Long on Corn   ",0,1
2010-11-26,"Just bought some  ETFs",0,0
2010-11-29,"RT  Planet Gore Plan C: Hey, Let's Try Tax Incentives   //  ethanol plan lowers mileage need more gas.",0,1
2010-12-01,"  Wheat did base on support & is shown strength @ price, also   shown buyers, ",0,0
2010-12-01,"watch  on this pull back, see buyers buy dip,  looking for a entry",0,0
2010-12-02,"long  35.82, have give this a little wiggle room>thin, I am keeping it light & loose, that does sound right! (can always added)",0,0
2010-12-06,"  Strength played out,we need the EMAs open up,4 trend gain strength,    ",0,0
2010-12-07,"Commodities Could Be King As IFPRI Report Underlines Shortage          ",0,0
2010-12-07,"These 2 softs are on the way to make a 52week high   Strength played out,    ",0,0
2010-12-08," &  have strength @ price  setting to make a new 52 week high    ",0,0
2010-12-08,"You gotta eat! Hey non-subs.  &  nice safe ideas to park some cash & let it grow. Right now especially.  Commodities. ",0,2
2010-12-10," , Good morning",0,0
2010-12-10,"Keep scream  &  are setting up for new 52 week high   ",0,0
2010-12-12,"Commented on: ""Time to Go Long on Corn""   ",0,0
2010-12-13," Breaking out  long pos",0,0
2010-12-13,"USDA: Global Soybean Stock Drops 2% on Strong Demand     ",0,0
2010-12-15,"Commodity ETF Investing: Four Strategies for Combatting Contango         ",0,0
2010-12-15,"Organic Trends Benefit Farmland          ",0,0
2010-12-17,"  strength continues in , looking to added to position, same in  ZW_F ",0,0
2010-12-17,"Nigga$ Been Hating On   Day 1 Fuck Em E If They  Like Ah  BITCH ",0,0
2010-12-21,"ETFs With Little Volume But Big Returns: Revisited            ",0,0
2010-12-21,"sold  37.46 +1.64",0,0
2010-12-22," Question of the nightI want to be long Copper in the form of  and long Ag in the form of  and . Long  now",0,0
2010-12-22,"U.S. Stock Market Forecast: Tech, Energy, Commodities and Gold Are Top Plays for 2011     ",0,0
2010-12-24,"Commodity ETF Momentum and Roll Yield Rankings             ",0,0
2010-12-24,"U.S.  Subsidies: A Bad Policy That Refuses to Die      ",2,0
2010-12-27,"  made new 52 week high  Strength made the call on Dec 8 watch the pattern not the NOISE  ",0,0
2010-12-27,"U.S. Ethanol Subsidies: A Bad Policy That Refuses to Die     ",0,0
2011-01-03,"Fund buying continues to support  &  ZC_F ZS_F",0,0
2011-01-05,"and no we didn't buy gold - still short ; long sugar , corn , and oil ; even the tickers are made for monkeys now",1,0
2011-01-05,"Interview With Frances Newton, CEO of Frances Insights, Part 2     ",0,0
2011-01-05,"RT  - and no we didn\'t buy gold - still short ; long sugar , corn , and oil ; even the tickers are ",0,0
2011-01-06,"HUGE STORY  World Food Prices Jump to Record on Sugar, Oilseeds - Bloomberg   via     ",0,0
2011-01-06,"Why Some Big-Time Investors Are Buying Farmland:  I like a little  if you can't by your own farm.",0,0
2011-01-07,"CORN and Other Next-Gen Commodity ETFs  ",0,1
2011-01-07,"Forget Forecasting - Can Ben Bernanke Actually Read?          ",0,0
2011-01-07,"Today in Commodities: Jobs Report a Non-Event            ",0,0
2011-01-09,"Commented on: ""Today in Commodities: Jobs Report a Non-Event""           ",0,0
2011-01-11,"A Closer Look at Food Prices, Broad-Based Agricultural ETFs          ",0,0
2011-01-12,"Grain Supplies Keep Getting Tighter      ",0,0
2011-01-12,"Today in Commodities: Market Reaction           ",0,0
2011-01-13,"Agriculture ETFs: Major Shortfall Predicted     ",0,0
2011-01-13,"buying the ETF  yesterday morning when the futures went lock limit gave me a nice $ pop today. Thanks for the trade idea ",0,0
2011-01-13,"How to Profit From Agricultural Inflation in 2011           .PK",0,1
2011-01-13,"March  ZC_F set a new contract high last night at .42 = ",0,0
2011-01-14,"Today in Commodities: Correction Coming              ",1,1
2011-01-15,"Cotton in 2011: Increased Volatility Ahead for Traders and Manufacturers   ",0,1
2011-01-19,": Cotton in 2011: Increased Volatility Ahead for Traders and Manufacturers,   ",0,0
2011-01-19,"Europe Focused ETFs on Top for 2011 (So Far)            ",0,0
2011-01-19,"That's a lot of pigs! 15 More Facts About China That Will Blow Your Mind   ",0,0
2011-01-20,"  Interesting moves in , looking@ trend, what areas to watch.",0,0
2011-01-20," ,  price flip off sell C'D?",0,0
2011-01-20,"close to filling the gap on   if buyers dont show in next 30min, then push lower to trendline 622.50",0,0
2011-01-21,"Today in Commodities: The January Effect              ",0,1
2011-01-23,"Commodity ETF Momentum and Roll Yield Rankings - Update           ",0,1
2011-01-24,"Spec Money Exits Gold & Silver but Not Other Markets , , , ",0,0
2011-01-25,"Ethanol Contributes to Global Food Inflation   ",0,0
2011-01-26,"China Expected to Import 8 Million Tons of Corn in 2011     ",0,0
2011-01-26,"Looking at trend & price action     what level to watch       ",0,0
2011-01-27," continues to fail at Trend watch the range  looking        ",0,0
2011-01-27,"ETF Spotlight: Teucrium Corn  ",0,0
2011-01-27,"Jim Rogers Extremely Bullish on Commodities             ",0,0
2011-01-27,"RT  - Jim Rogers Extremely Bullish on Commodities          ",0,0
2011-01-27,"StockGoodies Plays of the Week : ETF Spotlight: Teucrium Corn   ",0,0
2011-01-28,"Today in Commodities: Spotlit by Turmoil              ",0,0
2011-01-29,"Commented on: ""Today in Commodities: Spotlit by Turmoil""           ",0,0
2011-01-31,", , , this is how you trade the  crisis",0,0
2011-02-01,"Teucrium's Latest ETF Offers Another Option for Exposure to Natural Gas Futures Contracts    ",0,0
2011-02-02,"Commented on: ""Teucrium's Latest ETF Offers Another Option for Exposure to      ",0,0
2011-02-02,"is time to reverse the ""thesis"" form September it was short the long   & long softs    ? so many ? never dull moment",0,0
2011-02-02,"think they will come out with a 3x leverage ETF for Cotton  & his would a defined Top forgetaboutit go straight to 5x leverage",0,0
2011-02-02,"Weather and Acreage Driving Factors for Grains         ",0,0
2011-02-03,"  update vid Pay attention 2 theTrend need the volume to break Trend in Softs    ",0,0
2011-02-03,"More evidence of food inflation    We are all paying more for food!     ",0,0
2011-02-04,"  update vid Pay attention 2 theTrend need the volume to break Trend in Softs    ",0,0
2011-02-04,"Commented on: ""Teucrium's Latest ETF Offers Another Option for Exposure to      ",0,0
2011-02-04,"Today in Commodities: Scaling In and Out           ",0,0
2011-02-07," remains a favored play. Look for a move to /bushel. Good for  bulls bad for the world. As always, a wild and bumpy ride.",0,0
2011-02-07,"Is the Commodity Run-Up About to Reverse Course?             ",1,0
2011-02-08,"Four ETFs Boosted by Rising Food Prices     ",0,1
2011-02-09,"% trades to .00 level",0,0
2011-02-09,"Bernank to the world is on the tape today - ""buck up if you want to eat"" - ,   straight up; , ,  straight down",1,0
2011-02-09,"Corn prices rise as global stockpiles shrink  Worth a watch: ETF plays     ",0,0
2011-02-09,"Corn Stocks at 15 Year Low      ",0,0
2011-02-10,"High  prices helping reduce  grind after  carryover reduction ",0,0
2011-02-14,"  looking at levels to watch in overnight does Bearish move on Monday continue    ",0,0
2011-02-14,"Commodity ETFs Get No Love From Investors            ",0,0
2011-02-14,"Farmers Will Harvest a 20% Net Income Increase in 2011     ",0,0
2011-02-14,"I: Furthermore,  prices rising because of ethanol usage. - Bloomberg  This policy strikes me as foolish.",0,0
2011-02-15,"short ",0,0
2011-02-15,"Strong close for corn   etf good buy at 20day moving average IMO",0,0
2011-02-16,"covered 1/2  short",0,0
2011-02-16,"My favorite site for long-term  :        ",1,0
2011-02-17,"Fed: Farmland Values Rose Double Digits in 2010     ",1,0
2011-02-17,"Very bullish action on   looking strong.",0,0
2011-02-18,"  Corn high demand, look for the high test and around 44.25 next",0,0
2011-02-18,"  looking @ the close on  breakdown price & trend reviewing levels for Sunday night",0,0
2011-02-18," : GMTY!  recap Music  &Charts for Friday:        ",0,0
2011-02-18,"Farmland Values Up 12% in Chicago District    ",1,0
2011-02-18,"Music & Charts featuring George Shearing R.I.P.  George Shearing 每 The Lamp Is Low   <U+266B> ",0,0
2011-02-18,"recap Music  &Charts for Friday:         Good luck Friday",1,0
2011-02-18,"Today in Commodities: Gains and Pains           ",0,0
2011-02-18,"watch see if   finds support @ 709.25 at 9:50 interesting retest of yesterday high Hmmm",0,0
2011-02-22,"  could not hold 704and this is  the resultwatch 6905 that is 13ema on daily another important support ",0,0
2011-02-22,"Corn, Cotton off over 4%.  .",0,0
2011-02-23,"  breaking down price actionwatch lower trendline for a bounce or break ",0,0
2011-02-23," Key Near Term Reversal Day- Near Term Resistance .88 & .50 Support .62Risk Management Key-Great Call  ",0,0
2011-02-23,"37yr  low in  story just will not die ""yes""we get it , charting soft 's        ",0,0
2011-02-23,"Funds were reported sellers of 30,000  contracts yesterday with  falling only 8,600 ",0,0
2011-02-23,"Just Say No?       ",0,0
2011-02-23,"MT : The Good Leads  starring  and  featuring       ",0,0
2011-02-23,"Rural Economy Grows in February, but at Slower Rate      ",0,0
2011-02-23,"Rural Economy Grows in February, But at Slower Rate      ",0,0
2011-02-23,"The Good Leads  starring  and  featuring       ",3,0
2011-02-24,"  failed at the levels discuss last night    704` & bounce off of 690~ support ",0,0
2011-02-24,"New Image For Global Commodities       ",0,0
2011-02-25,"  export sales at 59m bu - highest of the market year! People got to eat.  ",0,0
2011-02-25," So the crowd will head over to bid up the Teucrium Corn ETF again? ",0,0
2011-02-25,"Grains Rise on Calmer Oil Prices - TheStreet   via      ",1,0
2011-02-25,"Today in Commodities: TGIF After Volatile Week             ",1,1
2011-02-27,"Corn: Buying Opportunity Ahead - by Matt McCall- Hard Assets Investor       ",0,0
2011-02-28," hmmm  went up and stopped maybe after 1 pm est it will start going back up",0,0
2011-02-28,"Corn: Buying Opportunity Ahead?  ",0,1
2011-03-01,"Acreage Reports and Political Unrest Affecting Grain Markets       ",0,0
2011-03-02,"Commented on: ""Acreage Reports and Political Unrest Affecting Grain Markets""       ",0,0
2011-03-03,"  hi i think the ag trade is going again look at  or  : )",0,0
2011-03-03," I do not do the futures so little choice but maybe tonight ",0,0
2011-03-03,"New Post: ETF's in the Bathroom  , , ",1,0
2011-03-03,"quite interesting to look at corn since mid-2010 to now ~ basically a replay of mid-2007 to June 2008 peak ",0,0
2011-03-04,"  RT  Agriculture ETFs Soar as Food Prices Hit Record Highs   ",0,0
2011-03-04,"Agriculture ETFs Soar as Food Prices Hit Record Highs   ",0,1
2011-03-04,"another ear at 43.90 ",0,0
2011-03-04,"ETF＊s in the Bathroom  via    ",7,1
2011-03-04,"just picked some  44.27",0,0
2011-03-04,"More thoughts on corn and TA:   What is the Best Corn Stalk, I Mean Stock  ",0,0
2011-03-04,"Today in Commodities: Marching to a Different Beat            ",1,0
2011-03-06,"Jim Rogers Is Insanely Bullish About These Stocks             ",1,5
2011-03-07,"stopped on  -1",0,0
2011-03-08,"Agriculture Boom: Is Food a Better Bet Than Oil and Gold?           ",0,1
2011-03-08,"Today in Commodities: Fat Tuesday            ",0,0
2011-03-09,"Raw Commodity Percentage Gainers,Year to Date  , , , , , , , ",0,0
2011-03-09,"The Role of Biofuels in the Current Food Price Spike  ",0,0
2011-03-10,"Today in Commodities: A Much Needed Correction            ",0,0
2011-03-11,"Today in Commodities: An Early Checkout               ",0,0
2011-03-14,"Ag Price Speculation With ETFs     ",0,0
2011-03-17,"corn went insane  ",0,0
2011-03-17,"Today in Commodities: Luck of the Irish        ",1,0
2011-03-18,"Rallies in  &  Oil have caused a resurgence in Call Skew in Options. Many interesting trading opportunities exist.",0,0
2011-03-18,"Today in Commodities: Booking Profits          ",0,0
2011-03-18,"What's working for me today: long , long , and long ",0,0
2011-03-20,"  HAT TIP:  Nice bounce back to close the week out.",0,0
2011-03-20,"  lol",0,0
2011-03-21,"Today in Commodities: Cutting Losses           ",0,0
2011-03-22,"  could be rdy to move after 2 days consol.  23%fib  of recent upmove pivot for now ",0,0
2011-03-22,"Today in Commodities: Commodity Update             ",0,0
2011-03-23,"Could it be? Even if Monsanto is crazy RT  IS THERE A MOORE'S LAW FOR CORN?    ",0,0
2011-03-23,"IS THERE A MOORE'S LAW FOR CORN?     ",0,0
2011-03-23,"RT : IS THERE A MOORE'S LAW FOR CORN?     ",0,0
2011-03-24,"the way coal is performing I'm expecting to hear Obama announce subsidizing the industry a la GW's  ethanol debacle",0,0
2011-03-25," prices and  not friends.",0,0
2011-03-28,"Hedge High Food Prices With Agriculture ETFs      ",0,0
2011-03-28,"Is That Really CORN in the Bushel Basket?  ",0,0
2011-03-29,"Hedge Fund Commodities Holdings: Higher Prices Ahead?           ",1,1
2011-03-29,"Rising Corn Acreage Failing to Meet U.S. Feed, Ethanol Use    ",0,0
2011-03-29,"Today in Commodities: Mixed Signals              ",0,0
2011-03-29,"Tuesday look-in: hedgies heart equities,  at new highs and dim sum bonds.     ",2,1
2011-03-30,"RT : The 10 Hottest Commodities of 2011           ",0,0
2011-03-30,"The 10 Hottest Commodities of 2011              ",2,1
2011-03-30,"Today in Commodities: One More in Q1           ",0,0
2011-03-31," - Just another way to play Corn   or   look at action on these today.",0,0
2011-03-31,"  Nice bounce off of the 41 support.",0,0
2011-03-31," making quite a move today.",0,0
2011-03-31,"A few of the better-looking energy/materials/commodities ETFs:           even  (pos reversal)",0,0
2011-03-31,"Believe it or not,  is outperforming . Now that's MOMO. ",0,0
2011-03-31,"Big day for  ",0,0
2011-03-31,"Corn Update : If you gottem up here, sellem. This was undoubtedly a bullish supply report. But U.S. cor (cont) ",0,0
2011-03-31,"iPath Grains Index Fund in Focus as Key Ag Report Surfaces   ",0,0
2011-03-31,"RT : Thank God I didn't sell my inflation   , yet",0,0
2011-03-31,"Thank God I didn't sell my inflation   , yet",0,0
2011-03-31,"Today in Commodities: Fresh Start, Q2 Tomorrow          ",0,0
2011-04-01," Flakes getting pricey. Observation.",0,0
2011-04-01,"40% of the US corn crop goes to ethanol.   (ht )",0,0
2011-04-01,"Bot  at 44.3",0,0
2011-04-01,"Corn Plantings to Rise; Prices Jump on Supply Concerns          ",0,0
2011-04-01,"If you are bullish on Corn , you should be bullish on Livestock ",0,0
2011-04-01,"Still Room to Grow in CORN's Bull Market  ",0,0
2011-04-01,"Thinking i am holding everything over the weekend.      ",0,0
2011-04-01,"Today in Commodities: Why Commodities in a Portfolio?           ",0,0
2011-04-01,"Weekly Commodity ETF Flows: Energy Leads, Gold Drops            ",0,0
2011-04-04," heading back to June 2008 highs it would appear",0,0
2011-04-04,"Best performing groups today: silver, agriculture, grains, emerging mkts    ",0,0
2011-04-04,"Held over the weekend        ",0,0
2011-04-04,"Today in Commodities: Full Agenda             ",0,0
2011-04-05,"Today in Commodities: Follow the Yen             ",0,0
2011-04-05,"Tuesday links: learning new tricks,  at new highs and when to fire a manager.    ",1,0
2011-04-06,"Bespoke's Commodity Snapshot         ",0,0
2011-04-06,"headed into an interesting day long      (calls)  & ",0,0
2011-04-06,"Oil, Metals And Corn Lead Commodity ETF Rally     ",0,1
2011-04-06,"The magic markers are back! RT : CORNOGRAPHY: BULL OR BEAR   ",0,0
2011-04-06,"Today in Commodities: A Non-Event            ",0,0
2011-04-07,""": Rush to Use Crops as Fuel Raises Food Prices and Hunger Fears ""  as I suggested recently on  .",0,0
2011-04-07,"Bot some more  at 45.7",0,0
2011-04-07,"Commodity Relative Strength  (Low Volume)+5.86%  +1.43%  +1.16%  +.28%  +.09%  Low Vol37%  -1.51%  -2.11%",0,1
2011-04-07,"Held overnight.  Long         Have   &  on a close watch.",0,0
2011-04-07,"Silver Leads Commodity ETFs in 2011        ",0,0
2011-04-08,"Held overnight long      $",0,0
2011-04-08,"Today in Commodities: Fighting Against the Dollar            ",0,0
2011-04-11,"27 Stocks Worth Watching That Hit 52 Week Highs Last Friday          ",0,0
2011-04-11,"Today in Commodities: Reversal Day            ",1,0
2011-04-12,"5 Commodity ETFs for Dollar Bears      ",0,0
2011-04-13,"Corn ETF Hit Hard in Commodities Sell-Off  ",0,0
2011-04-13,"Inside days.                 ",0,0
2011-04-14,"Oil ETF, Corn ETF, and More: Discussion On The Best Way To Access Commodities    ",0,0
2011-04-14,"Talking Commodity ETFs With Sal Gilbertie of Teucrium  ",0,0
2011-04-14,"Yesterday's inside days.                 ",0,0
2011-04-15," Super Corn?  ~   ",0,0
2011-04-18,"Agricultural ETFs trading well today.   ",0,0
2011-04-19," : Bone dry in the northern region of chinas wheat region.  printing cash. Dat der  also. Will potash r ",0,0
2011-04-20,"Bot little more  at 46.23",0,0
2011-04-20,"Crop Progress: Planting Already Behind Schedule      ",0,0
2011-04-21,"Future of Food Production? Japanese Plant Factories       ",0,0
2011-04-21,"RT  - Today in Commodities: Long Weekend Ahead           ",0,0
2011-04-21,"Today in Commodities: Long Weekend Ahead            ",0,0
2011-04-24,"Thursday's inside days.          ",0,0
2011-04-25,"Corn futures up again toady and  Fund on the verge of a new breakout. Pulling Grains ETN with it  and .  ",0,0
2011-04-25,"Thursday's inside days.          ",1,0
2011-04-25,"Today in Commodities: Positioning for the FOMC         ",0,0
2011-04-26,"How far can  go? Not just the ETF, but the grain itself? Read Jon Markman's take: ",0,1
2011-04-26,"Today in Commodities: Bernanke Speaks, Will You Listen?           ",0,0
2011-04-27,"Agriculture Update: Crop Planting Delays and Winter Wheat Conditions Deteriorate Further    ",0,0
2011-04-27,"Is Corn the New Silver? Not by a Longshot     ",1,0
2011-04-27,"Today in Commodities: Status Quo From Fed             ",0,0
2011-04-28," Do you have an entry point for ?  Will you be looking for a bottom at some point or further downside?",0,0
2011-04-28," horrible entry, selling off now through SMA20",0,0
2011-04-28,"Chart-Corn Limit Down      ",0,0
2011-04-28,"Corn limit down   ",0,0
2011-04-28,"Holy ! Never hurts taking profits.",0,0
2011-04-28,"I meant to say I shorted , not longhahaworst tweeted trade in a while, I'll give it another point will stick to my stops.",0,0
2011-04-28,"Lots of chatter about chart has breakout potential. ",0,0
2011-04-28,"Ok, so the dollar is down,  is way up, but  is taking a hit. Can someone please explain for the novices?",0,0
2011-04-28,"RT  Big downtrend break on  // this was a good & easy call at market open.  long not so much.",0,0
2011-04-28,"Stopped on  -2, that's embarrassingthat was supposed to be a swing dammit.",0,0
2011-04-28,"Swinging  from 46.60 will give it a two point stop.",0,0
2011-04-29,"Today in Commodities: Month of Volatility          ",0,0
2011-04-30,"Commented on: ""Today in Commodities: Month of Volatility""          ",0,0
2011-05-02,"Commodities: Corn and Soybeans Contango Shrinks Significantly         ",0,0
2011-05-02,"Don't Fight the Curve: 5 Commodity ETFs in Backwardation      ",0,1
2011-05-02,"Three Cs Going Crazy in Commodities     ",2,0
2011-05-02,"Today in Commodities: The Unpopular Trade           ",0,0
2011-05-03,"Crop Progress: Alarming 87% of Corn Crop yet to Be Planted          ",0,0
2011-05-04,"Bespoke's Commodity Snapshot         ",0,0
2011-05-04,"Today in Commodities: Commodity Correction           ",0,0
2011-05-05,"Corn Position Update : Corn price (like most commodities right here other than Gold) is breaking our imme (cont) ",0,0
2011-05-05,"CRB index down 6% this week worst since December 2008 crisis.       ",0,0
2011-05-05,"Today in Commodities: Panic Deleveraging          ",1,0
2011-05-05,"U.S. Corn Outlook   ",0,0
2011-05-06,"April ETF Data: Assets Climb to Record Levels During Month          ",0,0
2011-05-06,"Today in Commodities: Buy the Dip               ",0,0
2011-05-09,"+ July ",0,0
2011-05-09,"Commodities Still a Bubble - But Prices May Continue to Rise          ",0,1
2011-05-09,"Today in Commodities: What Commodity Bubble?           ",0,0
2011-05-10,"- July  put spreads",0,0
2011-05-10," Increased daily price limits for corn. That's not margin requirement FYI  ",0,0
2011-05-10,"Brazil's Imports Of U.S. Corn  Surge   ,   ",0,0
2011-05-10,"Commodity ETF Momentum and Roll Yield Rankings - Update           ",0,0
2011-05-10,"Enjoying miniature  burgers caramelized onion gorgonzola. Buying     ",0,0
2011-05-10,"Today in Commodities: Active Trading            ",0,0
2011-05-11,"As  crumbles, corn beef hash, eggs biscuits gravy, Arbuckles Coffee at Joe's Diner ",0,0
2011-05-11,"More markdowns on        ",0,0
2011-05-11,"Our beta robot algorithms lost on  and , won on  and ",0,0
2011-05-11,"Today in Commodities: Trading Both Sides of the Market           ",0,0
2011-05-12," 's management fee of 1.71% is among the most expensive in the industry wah wah",0,0
2011-05-12,"  is poppin",0,0
2011-05-12," speculators face the same problem as   , overnight, the govt can change the rules and prices plummet",0,0
